1    2021-07-04 07:41 OK1KJO       144.048   CW      JO60OK   66km 315°   599 599
2    2021-07-04 07:43 DL1RTL       144.053   CW  103 JO61NX  224km 347°   599 599
3    2021-07-04 07:45 OK1KKP       144.057   CW  217 JO70BO   67km  15°   599 599
4    2021-07-04 07:47 OK1AME       144.062   CW  245 JN69RI   80km 202°   599 599
5    2021-07-04 07:49 OK1KUO       144.07   CW  290 JO80FF  186km  82°   599 599
6    2021-07-04 07:56 DK1KC/P      144.085   CW  140 JN58QH  263km 225°   599 599
7    2021-07-04 07:57 OK1OAZ       144.085   CW  128 JO70FC   43km  77°   599 599
8    2021-07-04 07:58 DK6NJ        144.085   CW  163 JN59WL  156km 248°   599 599
9    2021-07-04 08:01 DL2GPK       144.085   CW   27 JN47MX  419km 239°   599 599
10   2021-07-04 08:01 DJ1YFK       144.085   CW    6 JN58SE  265km 221°   599 599
11   2021-07-04 08:03 DL3RAH       144.085   CW    2 JN59RG  193km 245°   599 599
12   2021-07-04 08:05 DL0PBE/P     144.085   CW   94 JO72CB  228km   6°   599 599
13   2021-07-04 08:07 OK1FSM       144.085   CW   26 JN79IX   60km  94°   599 599
14   2021-07-04 08:09 OK1IVU       144.085   CW  100 JN69QS   45km 232°   599 599
15   2021-07-04 08:11 OL1C         144.085   CW  474 JO60UX  107km 354°   599 599
16   2021-07-04 08:14 OK1AVF       144.085   CW   21 JN69QF   95km 202°   599 599
17   2021-07-04 08:19 OK1DDV/P     144.085   CW   82 JN79EI   82km 154°   599 599
